Brand,Model,Release Date,Sensor,DPI,Button,Connection,RGB,Length (mm),Width (mm),Height (mm),Weight (g),Price (USD)
ADATA,XPG PRIMER,Jun-2020,PixArt PMW3360,12000,7,Wired,Yes,126,65.6,37.9,98,$49.99
Cooler Master,MM831,May-2020,PixArt PAW3335,32000,6,Wireless,Yes,128.1,67.4,43.4,123,$79.99
Logitech,G203 LIGHTSYNC,May-2020,N/A,8000,6,Wired,Yes,116.6,62.15,38.2,85,$39.99
ASUS,ROG Pugio II,Apr-2020,PixArt PAW3335,16000,7,Wireless,Yes,126,57,40,102,$99.99
Corsair,DARK CORE RGB PRO,Apr-2020,PixArt PAW3392,18000,8,Wireless,Yes,127,89,43.2,133,$79.99
Razer,Viper Mini,Mar-2020,PixArt PMW3359,8500,6,Wired,Yes,118.3,53.5,38.3,61,$39.99
Pwnage,Ultra Custom Wireless Ergo,Feb-2020,PixArt PAW3335,16000,6,Wireless,No,120,66,42,69|73,$89
ASUS,ROG Strix Impact II,Feb-2020,PixArt PAW3327,6200,5,Wired,Yes,120,62.5,39.5,79,$49.99
Corsair,SCIMITAR RGB ELITE,Jan-2020,PixArt PMW3391,18000,17,Wired,Yes,119.4,77,42.4,122,$79.99
HyperX,Pulsefire Raid,Jan-2020,PixArt PMW3389,16000,11,Wired,Yes,128,71,41.5,95,$59.99
Sharkoon,Light² 200,Jan-2020,PixArt PMW3389,16000,6,Wired,Yes,120,66,42,62,$49.99
Razer,DeathAdder V2,Jan-2020,Razer Focus+,20000,8,Wired,Yes,127,61.7,42.7,82,$69.99
Glorious,Model D,Dec-2019,PixArt PMW3360,12000,6,Wired,Yes,128,67,42,68|69,49.99|59.99
Cooler Master,MM711,Nov-2019,PixArt PMW3389,16000,6,Wired,Yes,116.5,62.4,38.3,60,$59.99
ASUS,TUF Gaming M3,Nov-2019,PixArt PMW3325,7000,7,Wired,Yes,118.2,68,40,86,$29.99
Xtrfy,M4 RGB,Oct-2019,PixArt PMW3389,16000,6,Wired,Yes,120,68,39,69,59|69
HyperX,Pulsefire Dart,Oct-2019,PixArt PMW3389,16000,6,Wireless,Yes,124.8,73.9,43.6,110,$99.99
Razer,Viper Ultimate,Oct-2019,Razer Focus+,20000,8,Wireless,Yes,126.8,57.6,37.8,74,$149.99
Endgame Gear,XM1,Sep-2019,PixArt PMW3389,16000,5,Wired,No,122.14,65.81,38.26,70,$59.99
Razer,Viper,Aug-2019,Razer 5G,16000,8,Wired,Yes,126.8,57.6,37.8,69,$79.99
Corsair,M55 RGB PRO,Jun-2019,PixArt PMW3327,12400,8,Wired,Yes,124.4,57.25,40,86,$39.99
Corsair,NIGHTSWORD RGB,Jun-2019,PixArt PMW3391,18000,8,Wired,Yes,129,86,43.8,119|22,$79.99
ZOWIE,S1,May-2019,PixArt PMW3360,3200,5,Wired,No,126,66,39,87,$69.99
ZOWIE,S2,May-2019,PixArt PMW3360,3200,5,Wired,No,122,64,38,82,$69.99
Glorious,Model O,May-2019,PixArt PMW3360,12000,6,Wired,Yes,128,66,37.5,67|68,49.99|59.99
